type,name,gu,dong,lat,lng,address
지역근린공원,솜다리공원,노원구,공릉동,37.6247983,127.0827723,서울특별시 노원구 공릉동 
지역근린공원,학봉공원,강남구,삼성동,37.51297006,127.0519835,서울특별시 강남구 삼성동 
지역근린공원,망우산저류조공원운동장,중랑구,망우동,37.59945679,127.1115367,서울특별시 중랑구 망우동 
지역근린공원,솔밭소공원,강남구,율현동,37.47382537,127.1082549,서울특별시 강남구 율현동 
지역근린공원,견우공원,성동구,상왕십리동,37.56527247,127.0245418,서울특별시 성동구 상왕십리동 왕십리로
지역근린공원,은행나무터공원,성동구,성수동2가,37.5436944,127.0537509,서울특별시 성동구 성수동2가 연무장길
지역근린공원,옥계공원,금천구,독산동,37.46016616,126.9003021,서울특별시 금천구 독산동 시흥대로86길
지역근린공원,효사정공원,동작구,흑석동,37.51066861,126.9627646,서울특별시 동작구 흑석동 현충로
지역근린공원,푸른공원,성동구,금호동4가,37.54733279,127.0235737,서울특별시 성동구 금호동4가 금호로1길
지역근린공원,둘리근린공원,도봉구,쌍문동,37.65421761,127.02908,서울특별시 도봉구 쌍문동 시루봉로2길
지역근린공원,윗잔다리어린이공원,마포구,동교동,37.55716997,126.9261998,서울특별시 마포구 동교동 양화로18안길
지역근린공원,한내어린이공원,동대문구,장안동,37.56783128,127.0711554,서울특별시 동대문구 장안동 
지역근린공원,망우체육공원,중랑구,망우동,37.60423844,127.1028737,서울특별시 중랑구 망우동 송림길
지역근린공원,개운산근린공원,성북구,안암동5가,37.59316687,127.0275872,서울특별시 성북구 안암동5가 
지역근린공원,달마산공원,동작구,흑석동,37.49837228,126.9615113,서울특별시 동작구 흑석동 서달로
지역근린공원,가재을그린공원,노원구,중계동,37.64858144,127.0662626,서울특별시 노원구 중계동 
지역근린공원,개나리공원,노원구,상계동,37.66926876,127.0583074,서울특별시 노원구 상계동 동일로228길
지역근린공원,화양정터공원,광진구,화양동,37.54641158,127.0719275,서울특별시 광진구 화양동 
지역근린공원,미도어린이공원,서초구,반포동,37.50175529,127.0107499,서울특별시 서초구 반포동 
지역근린공원,문성공원,강서구,방화동,37.56488937,126.8154412,서울특별시 강서구 방화동 
지역근린공원,성동문화공원,성동구,도선동,37.56173197,127.03511,서울특별시 성동구 도선동 왕십리로
지역근린공원,구로거리공원,구로구,구로동,37.50259412,126.8890679,서울특별시 구로구 구로동 공원로
지역근린공원,해태공원,관악구,신림동,37.47257538,126.9404764,서울특별시 관악구 신림동 서림3길
지역근린공원,아차산체육공원,광진구,구의동,37.54907206,127.0976769,서울특별시 광진구 구의동 천호대로
대형시민/도심공원,망원한강공원,마포구,합정동,37.55052977,126.9016707,서울특별시 마포구 합정동 
지역근린공원,왕십리역광장,성동구,행당동,37.56177972,127.0372386,서울특별시 성동구 행당동 
대형시민/도심공원,북서울꿈의숲,강북구,번동,37.62317583,127.0409338,서울특별시 강북구 번동 월계로
지역근린공원,개웅산공원,구로구,개봉동,37.48697702,126.8481088,서울특별시 구로구 개봉동 
지역근린공원,배나무터공원,광진구,중곡동,37.56845299,127.0802459,서울특별시 광진구 중곡동 동일로76나길
지역근린공원,배밭공원,중랑구,망우동,37.58967789,127.1030278,서울특별시 중랑구 망우동 
지역근린공원,갈현근린공원,은평구,불광동,37.62938013,126.9240665,서울특별시 은평구 불광동 
지역근린공원,녹번동마을마당,은평구,녹번동,37.60608198,126.927579,서울특별시 은평구 녹번동 
지역근린공원,아까시아어린이공원,은평구,신사동,37.59442558,126.9086559,서울특별시 은평구 신사동 은평터널로
